time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_status,status_service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/02/13 16:07:18.613662912,108,900000000,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:18.650330743,109,0,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:18.758182205,109,100000000,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:18.874145946,109,200000000,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:18.980177144,109,300000000,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.88144665,109,400000000,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.192562356,109,500000000,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.299700216,109,600000000,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.405780767,109,700000000,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.509309557,109,800000000,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.610476653,109,900000000,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.717901998,110,0,gnss_link,1,1,55.86728538236451,37.69145258506212,150.2069659093395,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
